,client,site,date,accuracy cameras. m,Number of images,Flying altitude,Ground resolution,Coverage area,Tie points,Projections,Camera Model,Resolution,Pixel Size,Total (cm),Matching time,Alignment time,X error (cm),Y error (cm),Z error (cm),XY error (cm),Total (cm).1,Resolution.1,Point density,Coordinate system,RMS reprojection error,Max reprojection error,Mean key point size,Effective overlap,Accuracy,Optimization time,Depth maps generation time,Dense cloud generation time,control photoscan,accuracy cameras,camera model,resolution,number of photos,"Average camera location error, cm","fact accuracy in photoscans,cm",image overlap,fractional dem-diff,fractional dd colours,volume control,monitoring area,result
521,independent-construction,meadowlands,2019-09-20,10.0,258.0,137.0,3.64,0.3482,1163289.0,4672470.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,81.0,1328.0,465.0,0.7,0.7,0.7,0.9,1.2,13.1,57.92,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.142979 (0.695757 pix),0.939587 (36.4791 pix),4.09693,4.29036,High,215.0,517.0,257.0,good,10.0,FC6310R (8.8 mm),5472 x 3648,258.0,81.0,1.2,good overlapping,good,white,TRUE,True,acceptable
522,independent-construction,los-cerros,2019-09-20,0.05,492.0,148.0,4.07,0.7742,2630752.0,8404703.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,6.0,2645.0,483.0,0.5,0.8,0.6,1.0,1.1,14.8,45.52,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.129243 (0.719828 pix),0.695563 (42.0099 pix),4.35401,3.41118,High,74.0,835.0,552.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,492.0,6.0,1.1,good overlapping,good,white,TRUE,True,good
525,independent-construction,creekview,2019-09-20,0.05,923.0,136.0,3.79,1.742,3790149.0,17060490.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,13.1,5940.0,1153.0,2.4,2.4,1.4,3.4,3.7,13.4,55.32,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.153945 (0.698853 pix),0.855234 (35.7398 pix),3.90747,4.80524,High,342.0,2027.0,926.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,923.0,13.0,3.7,good overlapping,good,white,TRUE,True,good
523,engeo,treasure-island,2019-09-21,10.0,1246.0,110.0,2.98,0.922,4707584.0,18282429.0,FC6310 (8.8 mm),4864 x 3648,2.61 x 2.61 um,1824.8,6420.0,1048.0,5.1,4.0,2.0,6.4,6.7,11.2,80.12,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.169383 (0.814063 pix),9.60179 (102.556 pix),4.24125,4.30947,High,912.0,2331.0,2709.0,good,10.0,FC6310 (8.8 mm),4864 x 3648,1246.0,1825.0,6.7,good overlapping,good,white,TRUE,True,good
527,brookfield-residential-la,the-groves,2019-09-23,0.05,854.0,118.0,2.43,0.4972,2609012.0,14791306.0,senseFly Aeria X (18.5 mm),6000 x 4000,3.91 x 3.91 um,29.0,7740.0,622.0,3.6,3.9,11.5,5.3,12.6,9.01,1232.0,NAD83 / California zone 5 (ftUS) (EPSG::2229),0.182773 (0.743123 pix),2.93416 (45.2879 pix),3.91046,6.13225,High,272.0,2634.0,1666.0,normal,0.05,senseFly Aeria X (18.5 mm),6000 x 4000,854.0,29.0,12.6,good overlapping,normal,white,TRUE,True,acceptable
528,independent-construction,wildflower,2019-09-24,10.0,137.0,138.0,5.99,0.09582,366789.0,1599423.0,FC350 (3.61 mm),4000 x 3000,1.56 x 1.56 um,416.9,466.0,164.0,2.2,4.6,1.8,5.1,5.4,20.7,23.32,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.289985 (1.23664 pix),3.44671 (51.8649 pix),4.3638,5.63791,High,26.0,229.0,105.0,normal,10.0,FC350 (3.61 mm),4000 x 3000,137.0,417.0,5.4,good overlapping,normal,red,TRUE,True,good
537,brookfield-residential-bay-area,blvd,2019-09-28,0.05,243.0,133.0,3.69,0.4312,642819.0,2512325.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.4,109.0,163.0,0.9,0.7,1.3,1.1,1.7,13.2,57.62,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.121136 (1.09016 pix),0.536354 (40.9278 pix),7.69797,4.28334,Medium,16.0,501.0,164.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,243.0,3.0,1.7,good overlapping,good,white,TRUE,True,good
534,independent-construction,meadowlands,2019-09-28,0.05,241.0,134.0,3.67,0.3672,710114.0,2960865.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.4,128.0,275.0,1.2,1.4,0.8,1.9,2.0,13.1,582.0,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.121104 (1.07337 pix),0.579844 (38.8113 pix),7.66026,4.53224,Medium,26.0,464.0,215.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,241.0,3.0,2.0,good overlapping,good,white,TRUE,True,good
539,independent-construction,creekview,2019-09-28,0.05,940.0,136.0,3.75,1.772,2647733.0,10798381.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.3,469.0,1082.0,1.5,0.9,0.4,1.7,1.8,13.4,55.52,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.12429 (1.04381 pix),0.616885 (48.9559 pix),7.39914,4.4886,Medium,109.0,1975.0,1005.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,940.0,3.0,1.8,good overlapping,normal,white,TRUE,True,good
533,independent-construction,los-cerros,2019-09-28,0.05,538.0,147.0,4.08,0.8382,1449377.0,5458781.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.4,281.0,402.0,0.7,0.8,0.6,1.0,1.2,14.9,45.12,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.113906 (1.05512 pix),0.523061 (50.3688 pix),7.53228,4.18284,Medium,34.0,1108.0,666.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,538.0,3.0,1.2,good overlapping,good,white,TRUE,True,good
